Title,Company,Link,Rating,Job_Description,Size,Founded,Company_Type,Industry,Revenue,CEO,Recommend,Approve
"CIB QR - Risk Quantitative Research, Equity Derivatives Modelling Vice President / Executive Director",J.P. Morgan,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=251189&s=58&guid=0000016270e3fa629cbab606d317ec42&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3ebefaa2&cb=1522312412020&jobListingId=2684256129,3.7,"J.P. Morgans Corporate & Investment Bank is a global leader across banking, markets and investor services. The worlds most important corporations, governments and institutions entrust us with their business in more than 100 countries. With nearly $20 trillion of assets under custody, the Corporate & Investment Bank provides strategic advice, raises capital, manages risk and extends liquidity in markets around the world.

The primary aim of this team is to research and develop quantitative models for the Equity Derivatives business, as well as to ensure their compliance with internal policies and industry regulations. This involves:
Developing models for the pricing and risk management of equity derivatives, including investigating improvements to existing models
Implementing these models in our quant library
Writing model documentation compliant with internal and regulatory standards
Working with model control teams to facilitate timely and efficient review and approval of models
Liaising with business functions as well as other quantitative research and control teams
Qualifications/Experience:
Outstanding academic record with a PhD or Masters Degree in a quantitative discipline from a top-tier institution
At least five years of relevant desk quant experience in Equity Derivatives or related asset classes
Previous experience in model review and validation
A thorough understanding of equity derivatives pricing theory and standard models
Excellent analytical and problem-solving abilities
Strong written and verbal communication skills
Strong coding skills
Professional C++/Python development experience desirable",10000+ employees,1799,Public (JPM),Finance,$10+ billion (USD) per year,Jamie Dimon,76,93
Quantitative Research - M/F VIE,Societe Generale,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=273435&s=58&guid=0000016270e3fa629cbab606d317ec42&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1cc2113f&cb=1522312412021&jobListingId=2695617747,3.4,"Environment

Your environment
SG CIB is the Corporate and Investment Banking arm of the Societe Generale Group. Present in over 50 countries across Europe, the Americas and Asia. SG CIB provides corporate, financial institutions, investors and public sector clients with value-added integrated financial solutions.
At Societe Generale, you will be joining the Global Markets division (MARK) of SG Corporate and Investment Banking. MARK offers a cross-asset approach along all its offerings : Research, Investment & Risk Management Solutions, Execution and Prime Services to asset managers, pension funds, companies, private banks, insurance companies, hedge funds, family offices, sovereign funds and distributors worldwide.

As a Quantitative Researcher in the Asia QMM team (quantitative market-making), you will be trained by senior quants to research and test systematic trading strategies. You will learn how to apply your mathematical / statistical skills to this growing field of financial markets.

Mission
Your role

Your main responsibilities and missions will be :

Identify, record, clean and validate structured and unstructured datasets as a source of information
Research alphas: design, model and test predictive statistical models
Work on risk management, risk / reward optimization and risk constraints
Develop code of trading models to run backtests on statistical market-making strategies with holding horizons from intraday to weeks

The VIE assignment in a nutshell

This VIE in Hong Kong is to begin as soon as possible but you need to plan 3 months between your application date and the beginning of your VIE assignment. It will last 12 months.

The VIE is a specific contract, under Business France's eligibility criteria, opened to candidates under 28 and from the member states of the European Economic Space. For further information, please see www.civiweb.com.

Profile
Your profile

You are graduated with a Master degree from Engineering or Business School or University with a secialization in Mathematics, Statistics, Computer Science, Physics or similar.

Prior experience in data-driven quantitative research will be an advantage.

You are fluent in English.

You are proficient in Microsoft Office application (Excel, powerpoint).

Object oriented languages (with a preference for C#) and Statistical / analytics programming languages (with a preference for R) are required.

Evolution
Your Career Path

You may have the opportunity to join Societe Generale group permanently after your VIE mission, according to opportunities, without going through the whole recruitment process again.

To facilitate the examination of your application by our English-speaking managers, we thank you for applying in English.

All our positions are open to people with disabilities.",10000+ employees,1864,Public (GLE),Finance,$10+ billion (USD) per year,Frederic Oudea,68,83
Data Analyst - Modeling,Transunion,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=281975&s=58&guid=0000016270e3fa629cbab606d317ec42&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9c641239&cb=1522312412022&jobListingId=2661100858,3.9,"Dynamics of the Role

The incumbent
is expected to perform an array of regression, segmentation, clustering,
variable selection and other advanced statistical analysis techniques to
address internal and external customer needs and deliver business intelligence.
This position integrates experience, theory, and applied business statistics to
understand the client's business concerns and apply them to design, develop,
and implement complex analytical solutions across the entire customer life
cycle for all industries TransUnion serves.
Provides technical product support for new and existing products and
services developed by TransUnion.

How You'll Contribute:
Conducts
projects related to the statistical analysis of data that will address the
various phases of the account life cycle.
Prepares
detailed documentation specifications such as analysis and research results for
internal and external distribution/publication.
Creates
clear and easy to understand reports according to customer needs and/or
specifications.
Main
point of contact for customers for any issue related to analytics product
delivery in Hong Kong. Ensure full job
life cycle contact from initial meetings through delivery.
Receiving
assigned customer job requests. Review
and validate the order specifications directly with the customer. Take opportunity to consult and deliver
solutions geared to meet customer specifications for new and existing orders.
Facilitating
and ensuring order delivery. Communicate
with IT System Project Manager on priority of portfolio of jobs managed.
Ensure
compliance and accuracy of all documentation on file for internal and external
use.
Consulting
on system and process designs
Facilitate
or perform User Acceptance Test (UAT)
Foster
a high performance culture and cultivate an environment that promotes
excellence and reflects the TU Brand
Perform
other related duties as assigned
What You'll Bring:

The duties and responsibilities
described above are the essential functions of the job. The qualifications below are representative
of the knowledge, skills, and/or abilities required. Reasonable accommodations may be made to
enable individuals with disabilities to perform the essential functions.
Bachelor
degree or equivalent, relevant work experience.
Minimum
2 years' experience in data analysis and/or programming batch fulfillment
systems or equivalent, fresh graduates would also be considered
Ability
to analyze complex data using logic and quantitative reasoning
Working
knowledge of software development lifecycle principles and software quality
assurance
Expert
and demonstrated knowledge of batch fulfillment customer support and capturing
customer requirements accurately and efficiently
Highly
skilled in delivering excellence in customer service
Skilled
in multi-tasking between a variety of tasks, often changing from one task to
another of a different nature
Skilled
in delivering high-quality output on time in a fast-paced environment
Skilled
in setting priorities which accurately reflect the relative importance of job
responsibilities
Skilled
in prioritizing tasks to complete work in a timely manner when there are
changes, competing requirements or pressures of deadlines
Highly
skilled in working as part of a team and collaborating with colleagues
Ability
to accept equivocal circumstances and take action where answers to a problem
are not readily apparent
You can also visit our LinkedIN career page at https://www.linkedin.com/company/4310/careers?trk=job_view_topcard_company_image

Data collected will be treated in strict
confidence and used for recruitment purposes.",1001 to 5000 employees,1968,Public (TRU),Finance,$1 to $2 billion (USD) per year,Jim Peck,75,93
Data Scientist,Lenovo,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=236339&s=58&guid=0000016270e3fa629cbab606d317ec42&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3788a94c&cb=1522312412023&jobListingId=2651097760,3.3,"Position Description
Design data mining and machine learning algorithms to solve real-life industry problems
Design data analytics solutions for industry intelligence, such as supply chain optimization, production process optimization and predictive maintenance.
Present proposals and results to our business customers.
Collaborate with marketing/business development teams in scoping out new opportunities.
Model evaluation, deployment and optimization.

Position Requirements
Ph.D degree in computer science, statistics, mathematics or related fields.
Expertise in machine learning, graph analytics and text mining techniques
5+ years industry experiences on one or more from the following: data mining, Neural Network, natural language processing, optimization, deep learning
Strong programming skills in one or more in the following: Python, Java, C++, Matlab, weka.
Self-motivated and passion for innovation
Strong team management and communication skills
Published research papers in top tier data mining conferences will be a plus
Having experience of leading a team to participate in data mining competition (e.g., kaggle, Alibaba big data competition) will be a plus
Having experience of participating in large scale machine learning system development will be a plus


Lenovo",10000+ employees,1984,Public (LNVGY),Information Technology,$10+ billion (USD) per year,Yang Yuanqing,57,64
Quantitative Researcher,Societe Generale,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=273435&s=58&guid=0000016270e3fa629cbab606d317ec42&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f4ac263f&cb=1522312412024&jobListingId=2690983942,3.4,"Environment

SG CIB is the Corporate and Investment Banking arm of the Societe Generale Group. Present in over 50 countries across Europe, the Americas and Asia.SG CIB provides corporate, financial institutions, investors and public sector clients with value-added integrated financial solutions.

Mission

As a Quantitative Researcher in the Asia QMM team (quantitative market-making), you will be trained by senior quants to research and test systematic trading strategies. You will learn how to apply your mathematical / statistical skills to this growing field of financial markets.

Main Responsibilities

Identify, record, clean and validate structured and unstructured datasets as a source of information
Research alphas: design, model and test predictive statistical models
Work on risk management, risk / reward optimization and risk constraints
Develop code of trading models to run backtests on statistical market-making strategies with holding horizons from intraday to weeks

Profile
Undergraduate degree from a leading academic institution in a highly quantitative field (Mathematics, Statistics, Computer Science, Physics or similar), with stronger interest if additional graduate / post-graduate degree and/or research experience
Advanced knowledge in probability and statistics
Prior experience in data-driven quantitative research will be an advantage
Fluency in IT: object oriented languages (with a preference for C#), statistical / analytics programming languages (with a preference for R) and databases
Open and inquisitive mind, strong interest in researchStrong team work and communication skills
Able to work under pressure, prioritize different tasks and requirements
Fluent English is mandatory",10000+ employees,1864,Public (GLE),Finance,$10+ billion (USD) per year,Frederic Oudea,68,83
"Business Integrity Associate, Data Analytics, Greater China",Facebook,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=282723&s=58&guid=0000016270e3fa629cbab606d317ec42&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_54b32820&cb=1522312412025&jobListingId=2652676997,4.6,"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities we're just getting started.Business Integrity's mission is to ensure safe and trusted connections between people, businesses, and Facebook. Our team works together to anticipate and predict potential threats to our platform, design and build tools to protect against these threats, and then implement and enforce these systems at scale. We leverage data analysis, machine learning and a robust infrastructure to review the quality of promoted content on our platform. We partner closely with several cross-functional teams, including product, engineering, and data science, to ensure high quality and safe experiences for both people and businesses across the Facebook family of apps.

Successful candidates for this team are adaptable, creative, have a bias toward action, aren't afraid of being wrong, and can successfully work across various teams & countries. Opportunities are available in Hong Kong

Responsibilities:
Develop compelling analyses to execute data-informed initiatives that helps improve our support channels, improve the quality of our ad products and drive great service
Apply expertise in quantitative analysis, data mining, and data visualization to see beyond the numbers and pull insights to help identify trends & opportunities to drive growth of our product & business
Be a thought leader for data-informed initiatives and guide the teams direction overall
Conduct in-depth investigations leveraging large and complex data sets
Partner with Data Science, Product and Engineering teams to solve problems at scale
Inform, influence, and execute new strategies and tactics using analysis and impact metrics to support your positions
Mininum Qualifications:
BA/BS in Computer Science, Engineering, Math/Finance, Physics, Economics, Statistics or other technical discipline with professional experience in a quantitative field
8+ years of work experience in a role involving analytical initiatives (ie: business intelligence, data analytics or technical systems)
Experience with SQL
Experience with reporting systems and data pipeline architecture
Experience leveraging data to make decisions and solve problems
Experience resolving, communicating, and presenting issues & insights to both technical and non-technical audiences
Critical thinking and problem solving experience in a professional setting
Ability to assess, analyze and resolve complicated issues, and distill that complexity into simple and concise communication
Preferred Qualifications:
Experience working and communicating with global teams
Experience with statistical analysis, and a statistical package such as R, MATLAB, SPSS, SAS, or Stata
Development experience in at least one scripting language (PHP, Python, Perl)
Advanced technical degree",10000+ employees,2004,Public (FB),Information Technology,$5 to $10 billion (USD) per year,Mark Zuckerberg,93,97
Project Manager (Analytics and Decisioning Services),Transunion,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=281975&s=58&guid=0000016270e3fa629cbab606d317ec42&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3c9e36aa&cb=1522312412026&jobListingId=2681681929,3.9,"Dynamics of the Role

This position is a combined roles of a Project Manager and Business Analyst. As a PM, its major responsibilities include project management, customer engagement, leadership and leading projects with diverse teams to deliver a solution to TransUnion customer. This position will lead and manage multiple concurrent projects, coordinating work across variety of internal TransUnion groups as well as external vendors and/or consultants, and providing appropriate communication to all project stakeholders (internal and external) to ensure successful project completion and/or compliance of Service Level Agreements (SLA). As a Business Analyst, he will be responsible in eliciting and documenting the requirements.

This position will recommend project structure and processes, especially on new product roll-outs or enhancements to existing products, to meet new and challenging business needs using advanced project management skills and a variety of project methodologies and techniques. It will also be responsible for maintaining relationships with external customers and sales personnel throughout the duration of the project to facilitate transparency on project status and risks. Being exposed to a domain, the role is expected to also provide an adequate level of being expert on the solution to carry out conversation with customers during requirements gathering and troubleshooting of issues.

How You'll Contribute
Apply in-depth professional experience and broad knowledge of both business and technology to analyze and develop integrated solutions to resolve simple to complex technical or business issues. Lead and actively participate and interact with customers to understand business needs, identify the best solution, and design the processes to meet the needs.
Project Management.Lead IT projects by directing, driving and overseeing the work done by its project team/s across the phases of SDLC using TransUnion implementation methodology and standard processes to ensure successful project delivery. The scope of the work includes project administration, issue resolution and escalating them when necessary, managing project budgets and estimates, and ensuring that project communication exceeds stakeholder needs using expert skills in meeting leading, presentations and problem solving.
Interface with both Project Steering Committee and TransUnion senior management on all escalated project related issues, changes in scope, project risks and project status. Ensure that comprehensive information is provided to all stakeholders in a timely manner. Work with other teams to prioritize project work.
Ensure that standard project processes are followed each project so that changes to project scope, requirements, resources, functionality and risk are monitored, documented and communicated to all project stakeholders in a timely manner.
Propose improvement to existing processes to make the work of the team efficient.
Requirements Elicitation. Using multiple information gathering techniques, lead and conduct facilitated sessions with customers to define detailed business requirements for solution development.
Analyzing Requirements. Establish and maintain clear scope boundaries for the solution. Develop clear and concise functional requirements for the technical developers that are free from ambiguity to minimize re-work and errors. Articulate to the clients the implications of implementing new technologies in the current business and technology framework. Recognize the business's needs and the implications of change. Formulate alternative solutions to satisfy business requirements.
Specifying Requirements. Validate and/or develop precise documentation of prioritized functional requirements/configuration document or user stories that can be shared with various stakeholders and in a format that can be directly converted to test plans, use cases, and/or system conceptual designs to meet performance targets and development project plans. Discuss these requirements gathered to the architect and/or development team, ensuring there is a clear and concise understanding of requirements.
Validating and Verifying Requirements. Validate and/or maintain a traceability matrix that links the business requirements to technical solution, and from solution to test cases and vice-versa, to ensure that all captured business requirements signed-off by the customer is delivered and tested in the solution. Work with QA team to ensure that appropriate test plan and relevant test cases are prepared for Systems Integration Testing or User Acceptance Testing and that these are aligned to the signed-off requirements. Review test conditions and expected results for product, performance and user acceptance testing.
Configuration. Perform simple/non-routinary to complex/critical configurations of standard/out of the box DE solutions.
Documentation. Review and/or write/develop all required documentation for the project such as but not limited to User Manual, Training Manual, Requirements Document, Process flows.
Training. Train customer's Core Project Team, End-User, Operation Support or other relevant users on the use of the proposed solution.
Participate in quality management reviews as outlined in the project work plan, and in reviews of the designs, prototypes and other project work products to ensure fulfillment of the requirements.
Gatekeeper of Requirements. Should be able to raise to Customer PM counterpart or internal stakeholders if : (1) issues reported are not within the signed-off requirements; (2) a technical implementation of a solution will trigger a change in the signed-off requirements and solution;
Scheduling and Project Tracking. Work with development team in completing the work estimates and scheduling the work to be done. Scheduling of project must comply with TransUnion best practice and set of standards.
Production Support. Lead the handover or onboarding plan to Production Support, and/or conduct knowledge hand-over to Level 1 to ensure that the latter can be able to provide Level 1 support effectively. As an SME on the functionality of the solution, provides Level 2 or Level 3 support when the need arises.
Continue to build on technical and business knowledge. Seek out innovations in process improvement, better utilization of resources, product enhancements, improved communications and faster issue resolution.
As appropriate, ensure that post implementation support is provided for projects and/or products that have been developed or enhanced to ensure that they are working effectively and efficiently and that customers ' needs are addressed in a timely manner and SLA's are met 100'.
Perform other related duties as assigned.
What You'll Bring

The duties and responsibilities described above are the essential functions of the job. The qualifications below are representative of the knowledge, skills, and/or abilities required.

Bachelor's Degree in Computer Science, Information Systems, or other related field. Or equivalent work experience. Project Management certification or successful completion of a recognized project management curriculum is required.

Experience: Typically has at least 10 years of total IT work experience.

Must have at least 3 years of work experience as an IT Project Manager for system or application IT-related projects such as application package implementation, system integration, mobile app development or software development. Experience as a Vendor delivering a project to an external customer is a must.

Must have at least 3 to 5 years of work experience as Business Analyst or System Analyst or equivalent position with an emphasis on requirements elicitation and documentation, software development with systems background, or hands-on knowledge of software development lifecycle and development methodology.

Exposure to banking or financial services industry is preferred.

Requires excellent written and verbal communications skills with a background in technical communications.

Excellent inter-personal skills with the ability to bridge business and technical perspectives, and ability to build professional relationships. Demonstrated ability to meet critical time sensitive objectives.

Has demonstrated the ability to deliver multiple projects at the same time, and can manage teams with diverse background and different time zones.

Must satisfactorily meet all competency skills identified for this role.

You can also visit our LinkedIN career page at https://www.linkedin.com/company/4310/careers?trk=job_view_topcard_company_image

Data collected will be treated in strict
confidence and used for recruitment purposes.",1001 to 5000 employees,1968,Public (TRU),Finance,$1 to $2 billion (USD) per year,Jim Peck,75,93
Deep Learning Research Scientist,Lenovo,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=201336&s=58&guid=0000016270e3fa629cbab606d317ec42&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1e59edc3&cb=1522312412027&jobListingId=2651097796,3.3,"Position Description
Candidate will be doing research on deep learning or automated machine learning to solve challenging real-life industry problems. The applications will focus automated algorithm design, image recognition, text understanding, speech recognition, dialogue system and other related applications.

Position Requirements
Master degree in computer science or related fields and with 2+ years working experience or Ph.D. degree in computer science or related fields.
Expertise in deep learning model, machine learning algorithm.
Expert knowledge of data structures and algorithms.
Strong programming skills in one or more in the following: C++, Python, Java.
Familiar with at least one deep learning framework, e.g. Tensorflow, MXNet, Caffe, etc.
Familiar with automated algorithm design will be a plus


Lenovo",10000+ employees,1984,Public (LNVGY),Information Technology,$10+ billion (USD) per year,Yang Yuanqing,57,64
"Senior Research Analyst, Quantitative Research",Macquarie Group,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=228895&s=58&guid=0000016270e3fa629cbab606d317ec42&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_73daef7d&cb=1522312412028&jobListingId=2661012351,3.7,"Commodities and Global Markets provides clients with an integrated, end-to-end offering across global markets including equities, fixed income, foreign exchange and commodities.

Find out more about Macquarie at www.macquarie.com/about.

We are currently seeking a Senior Research Analyst to join our Quantitative Research team in Hong Kong.

In this role you will:

1) Independently undertake thought provoking and commercial research. This task will involve:
generating original ideas, possibly building on current academic work e.g. in accounting, finance, economics, econometrics
exploring new techniques in the fields of Machine Learning, Big Data and Artificial intelligence and how this will impact the equity markets
obtaining, cleaning and organising various datasets, mostly comprising data at security level
writing original code to process the data, test robustness and display the results in a compelling graphical form
writing up in-depth reports that present and interpret the result in a style that is rigorous yet commercial.
2) Service both quantitative and fundamental clients - support, advise and answer queries, assist with special ad-hoc projects and initiatives as assigned.

3) Service and engage with the internal sales/trading desk by actively taking part in the marketing of the global research product and trading ideas. This task will involve running screens, backtests and other types of analytics tool in a timely and reliable manner. In addition, it will involve participating in internal meetings and teach-ins and giving internal presentations.

About you

To be successful you will have:
An academic background in Economics, Accounting or Finance and a post graduate degree (e.g. PhD) from a top-tier university
Experience in a similar role either on the buy side or on the sell side would be an advantage
Proven experience and deep understanding of the working of financial markets
A strong team ethic and previous experience working within a fast paced environment, where you need to show initiative and leadership skills, ability to work independently with little supervision and recognise when to seek help.
Excellent analytical skills and an outgoing personality with strong communication and presentation skills
Experience of using programming languages (ideally R)
A CFA qualification or working towards gaining a CFA qualification would be an advantage
Macquarie understands the importance of diversity and inclusion - our long history of success has come from being different. At Macquarie we value the innovation and creativity that diversity of thought brings. The one thing we all have in common is our focus on high performance. If you're capable, motivated and can deliver, we want you on our team.",10000+ employees,1969,Public (MQG),Finance,$5 to $10 billion (USD) per year,Nicholas W. Moore,77,97
Data Analyst,ICLP,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=289895&s=58&guid=0000016270e3fa629cbab606d317ec42&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_8aa6fc36&cb=1522312412029&jobListingId=2656401781,2.6,"Responsibilities:
Conduct and support data analytics & database marketing projects
Supply relevant campaign design & measurement information to determine the appropriate marketing strategy
Campaign data extraction, manipulation and analysis of customer data
Generate regular reporting and perform ad-hoc analysis/extractions for campaign purposes
Perform quality control processes to ensure results are accurate and match the specification
Support system report development using various reporting tools
Coordinate with internal Technology, Business Integration, and Data Services departments to resolve data issues and articulate analytic requirements.
Requirements:
Degree in statistics, mathematics, marketing or related business degree
At least 3 years of experience in marketing analytics. Knowledge of statistical modelling is strongly preferred
Experience working with large volume data, including mining, segmentation, predictive modelling or decision support services
Background in consumer trends, research, marketing communications, CRM or loyalty
Solid experience in statistical analysis, predictive modeling, optimization and/or similar data driven business solutions.
MS SQL Server Stored Procedure skills are a must. Experience working with database (MSSQL Server, Oracle or MySQL) or Big Data (AWS, Hadoop). SAS (Base or Enterprise Miner) or SPSS or R skills are highly preferable. Proficiency in MS Excel, Access and PowerPoint. Google Analytics, Telerik, Tableau, MS Project skill a bonus.
A passion for working with numbers and present them in a way that make business sense and the ability to see patterns where others can't
Attention to details, intuitive and able to deliver accurate results
Willing to take initiative and work independently. Experience coaching junior staff a plus
Excellent communication skills in English both written and spoken.",Unknown,Unknown,Private,Business Services,$5 to $10 million (USD) per year,Mignon Buckingham,49,48
